3.674	4.543	3.675	5.882
4.232	7.62	5.591	2.806
3.391	6.233	3.608	5.206
3.862	3.556	2.722	5.461
4.886	2.745	4.738	5.452
6.432	3.889	6.734	5.924
3.785	5.507	5.955	7.287
2.793	5.18	5.126	7.684
3.246	8.116	4.425	1.996
4.18	3.407	4.056	6.135
3.229	5.015	5.707	5.737
3.172	4.765	3.447	2.36
6.423	3.448	7.615	5.904
5.183	3.89	5.228	6.467
5.768	2.153	4.705	4.871
5.028	4.05	5.985	5.658
5.421	3.937	6.189	7.022
5.73	5.649	6.676	7.388
4.999	3.993	5.438	6.313
3.873	4.608	3.972	4.394
4.294	4.616	4.869	3.021
4.868	4.988	4.994	6.428
1.718	6.337	4.775	6.973
3.734	4.034	3.852	5.815
6.862	4.396	6.709	5.09
5.368	3.291	5.869	5.939
4.583	4.262	4.516	5.986
7.164	2.046	6.676	5.678
4.439	3.03	4.855	5.185
3.441	4.463	3.948	6.296
5.481	4.221	5.859	6.652
3.511	5.356	3.537	2.486
4.909	4.586	4.872	5.282
3.244	4.116	3.856	5.68
3.744	3.715	4.21	5.72
5.744	4.687	6.582	5.013
7.13	5.137	7.191	3.323
6.668	2.426	5.956	5.031
5.842	4.658	6.628	5.903
4.849	3.048	4.876	4.381
3.956	3.177	4.099	4.621
5.731	4.031	6.613	6.325
4.929	3.285	5.225	6.422
6.782	6.255	7.69	4.881
6.747	3.23	8.053	6.513
7.248	4.47	7.587	6.872
4.08	6.912	3.879	5.597
4.79	4.382	6.144	5.83
5.308	3.631	6.422	5.921
6.558	3.297	6.755	5.165
3.184	4.839	4.518	5.553
4.482	3.684	4.41	4.37
4.457	3.42	4.61	5.749
6.42	3.2	5.384	5.999
4.785	5.658	4.553	3.875
3.888	4.487	3.297	4.641
2.658	6.2	4.108	1.95
5.542	2.42	5.166	5.158
4.0	7.431	5.251	4.193
3.526	4.631	4.376	6.798
6.69	4.266	6.462	4.324
2.785	9.412	5.346	2.735
4.649	3.094	5.283	5.101
7.041	4.306	7.247	5.247
3.117	3.039	2.987	5.953
7.52	2.314	7.881	5.466
4.08	8.357	4.355	2.348
3.632	4.679	5.496	6.022
3.409	4.061	2.732	5.358
5.575	3.217	5.476	4.904
6.411	2.926	5.388	5.546
3.566	4.459	4.333	4.243
3.571	4.909	4.268	4.534
4.416	3.102	4.526	4.669
4.453	4.109	6.074	5.133
4.911	4.375	4.532	4.827
3.438	4.397	3.358	5.268
5.945	4.571	7.065	5.986
5.086	5.659	5.252	3.37
6.94	3.159	8.245	7.709
7.398	1.939	7.1	5.646
6.542	6.217	5.638	3.518
6.051	4.036	6.174	4.914
7.167	3.205	6.604	5.06
2.93	7.92	4.542	3.075
4.047	5.71	5.206	6.552
5.078	5.296	5.2	4.865
4.375	6.992	5.198	1.432
3.747	5.417	3.647	3.164
4.142	3.766	4.508	5.76
4.593	4.536	5.57	6.193
6.456	2.575	6.315	5.414
4.632	5.885	4.899	5.627
7.14	2.474	7.371	5.676
4.095	6.497	4.359	2.964
4.058	4.206	4.03	5.274
2.869	4.128	2.003	5.612
2.849	5.26	2.568	5.431
3.687	3.665	3.716	6.06
3.178	5.064	3.464	3.811
4.996	4.912	5.286	4.695
7.236	3.851	8.145	6.32
4.303	3.107	3.98	6.249
4.311	6.231	5.037	3.39
4.136	4.07	3.985	4.736
3.004	5.065	4.216	5.984
1.741	5.005	3.271	8.234
2.406	6.611	4.104	7.503
3.478	6.658	5.257	4.678
3.916	6.075	4.84	3.273
5.068	4.147	4.396	5.615
2.101	5.275	2.769	7.794
6.002	2.869	5.68	4.89
6.551	4.154	6.61	5.544
4.038	6.356	5.203	3.098
5.865	4.147	6.299	6.17
5.521	4.167	6.112	5.994
4.333	3.79	5.282	5.17
5.339	4.718	4.743	5.015
4.278	2.692	3.719	5.698
